Filename,YouTube Title,Description,Playlist,Visibility
2026-07-15_AnyrvaanSpirit_Ch01_TheMandala.mp4,The Mandala — A Slow, Calming Pattern | ANYRVAAN Calm Patterns #1,"A slow, calming animation of a mandala drawing itself in light — a pattern forming around a still centre. It plays once, then again slower, so you can just watch. Part one of ten.",ANYRVAAN Calm Patterns,Public
2026-07-15_AnyrvaanSpirit_Ch02_TheYantra.mp4,The Yantra — Triangles and a Single Point | ANYRVAAN Calm Patterns #2,"A calm animation of interlocking triangles forming around one central point. Plays once, then slower. Part two of ten.",ANYRVAAN Calm Patterns,Public
2026-07-15_AnyrvaanSpirit_Ch03_TheEnso.mp4,The Ensō — One Brush Circle | ANYRVAAN Calm Patterns #3,"A single brush circle, drawn and left open. The quietest of the ten — almost nothing but the stroke and some space. Part three of ten.",ANYRVAAN Calm Patterns,Public
2026-07-15_AnyrvaanSpirit_Ch04_EightfoldStar.mp4,The Eightfold Star — An Endless Pattern | ANYRVAAN Calm Patterns #4,"Two squares turning into a star that tiles on forever. A calm, geometric animation. Part four of ten.",ANYRVAAN Calm Patterns,Public
2026-07-15_AnyrvaanSpirit_Ch05_RoseWindow.mp4,The Rose Window — Light Through Glass | ANYRVAAN Calm Patterns #5,"A stained-glass rose window slowly coming to life in light. Part five of ten.",ANYRVAAN Calm Patterns,Public
2026-07-15_AnyrvaanSpirit_Ch06_TreeOfLife.mp4,The Tree of Life — Points and Paths | ANYRVAAN Calm Patterns #6,"Light travelling gently down a branching pattern of points and paths. Part six of ten.",ANYRVAAN Calm Patterns,Public
2026-07-15_AnyrvaanSpirit_Ch07_WayOfWater.mp4,The Way of Water — Flowing Motion | ANYRVAAN Calm Patterns #7,"A calm animation of water splitting around a stone and joining back together. Part seven of ten.",ANYRVAAN Calm Patterns,Public
2026-07-15_AnyrvaanSpirit_Ch08_TurningWheel.mp4,The Turning Wheel — Steady Rotation | ANYRVAAN Calm Patterns #8,"Wheels turning within wheels, calm and steady. Part eight of ten.",ANYRVAAN Calm Patterns,Public
2026-07-15_AnyrvaanSpirit_Ch09_EndlessKnot.mp4,The Endless Knot — A Line With No End | ANYRVAAN Calm Patterns #9,"One continuous line weaving a knot that never ends. Part nine of ten.",ANYRVAAN Calm Patterns,Public
2026-07-15_AnyrvaanSpirit_Ch10_TheOneSound.mp4,The One Sound — Everything Gathers In | ANYRVAAN Calm Patterns #10,"The finale: the nine patterns before it gather into a single ring, then fade to silence. Part ten of ten.",ANYRVAAN Calm Patterns,Public
2026-07-15_Retro_01_Commodore64.mp4,The Commodore 64 (1982) — Rebuilt From Scratch,"The 1982 Commodore 64, recreated exactly as it looked — the startup screen, the slow tape loading, all of it. No screenshots; every pixel drawn by hand. Thirty seconds.",Old Computers Rebuilt,Public
2026-07-15_Retro_02_MacSystem1.mp4,The First Macintosh (1984) — Rebuilt From Scratch,"The original 1984 Macintosh screen — black and white, dragged icons, the little menus — recreated from scratch. Thirty seconds.",Old Computers Rebuilt,Public
2026-07-15_Retro_03_MSDOS.mp4,MS-DOS (1989) — Rebuilt From Scratch,"The old black DOS text screen, with typed commands and blue menus, recreated exactly. Thirty seconds.",Old Computers Rebuilt,Public
2026-07-15_Retro_04_Windows95.mp4,Windows 95 (1995) — Rebuilt From Scratch,"Windows 95 brought back to life — the Start menu, the grey buttons, a game of Minesweeper. No screenshots, all hand-made. Thirty seconds.",Old Computers Rebuilt,Public
2026-07-15_Retro_05_GeoCities.mp4,The 1997 Web (GeoCities) — Rebuilt From Scratch,"The homemade web of 1997 — tiled backgrounds, a spinning UNDER CONSTRUCTION sign, and a visitor counter ticking up for you. Thirty seconds.",Old Computers Rebuilt,Public
2026-07-15_Retro_06_Winamp.mp4,Winamp (1999) — Rebuilt From Scratch,"The Winamp music player from 1999 — green glowing clock, bouncing bars and all. Thirty seconds, drawn from scratch.",Old Computers Rebuilt,Public
2026-07-15_Retro_07_Nokia3310.mp4,The Nokia 3310 (2000) — Rebuilt From Scratch,"The classic Nokia 3310 — texting the slow old way, then a game of Snake. Thirty seconds.",Old Computers Rebuilt,Public
2026-07-15_Retro_08_iPod.mp4,The iPod (2004) — Rebuilt From Scratch,"The click-wheel iPod, scrolling through a list of songs. Thirty seconds, recreated by hand.",Old Computers Rebuilt,Public
2026-07-15_Retro_09_BlackBerry.mp4,The BlackBerry (2006) — Rebuilt From Scratch,"The BlackBerry — the trackball, the tiny keyboard, the blinking red mail light. Thirty seconds.",Old Computers Rebuilt,Public
2026-07-15_Retro_10_iPhone.mp4,The First iPhone (2007) — Rebuilt From Scratch,"The original 2007 iPhone — glossy icons and slide to unlock. The end of a 25-year journey through old screens. Thirty seconds.",Old Computers Rebuilt,Public
2026-07-15_UIReplica_01_QuickBooks.mp4,QuickBooks, Faked So Well It Looks Real,"The QuickBooks accounting app, rebuilt from scratch with a fake mouse clicking through it. It looks exactly like a screen recording — but nothing real is running. Thirty seconds.",Apps Rebuilt by Hand,Public
2026-07-15_UIReplica_02_Excel.mp4,Excel, Rebuilt by Hand (Looks Real, But Isn't),"A spreadsheet that looks exactly like Excel — the total updating at the bottom as a fake mouse drags across the cells. All hand-made, nothing real running underneath. Thirty seconds.",Apps Rebuilt by Hand,Public
2026-07-15_UIReplica_03_Slack.mp4,Slack, Rebuilt by Hand (Looks Real, But Isn't),"The Slack chat app, faked so well it looks like a real recording — messages arriving, a reaction ticking up as if a coworker just added it. Thirty seconds.",Apps Rebuilt by Hand,Public
2026-07-15_UIReplica_04_Gmail.mp4,Gmail, Rebuilt by Hand (Looks Real, But Isn't),"Gmail, recreated from scratch — writing and sending an email, the conversation folding up afterward. Nothing real is running. Thirty seconds.",Apps Rebuilt by Hand,Public
2026-07-15_UIReplica_05_Stripe.mp4,Stripe, Rebuilt by Hand (Looks Real, But Isn't),"The Stripe payments screen, faked by hand — a payment coming in, then a refund rippling through everything on the page. Thirty seconds.",Apps Rebuilt by Hand,Public
2026-07-15_UIReplica_06_Xero.mp4,Xero, Rebuilt by Hand (Looks Real, But Isn't),"The Xero accounting app, recreated from scratch — matching up bank transactions with a click. Thirty seconds.",Apps Rebuilt by Hand,Public
2026-07-15_UIReplica_07_Notion.mp4,Notion, Rebuilt by Hand (Looks Real, But Isn't),"Notion, faked so it looks real — ticking off a to-do list, with pages and titles and all. Thirty seconds.",Apps Rebuilt by Hand,Public
2026-07-15_UIReplica_08_GoogleCalendar.mp4,Google Calendar, Rebuilt by Hand (Looks Real, But Isn't),"Google Calendar, recreated from scratch — creating an event and watching it drop into place on the grid. Thirty seconds.",Apps Rebuilt by Hand,Public
2026-07-15_UIReplica_09_VSCode.mp4,VS Code, Rebuilt by Hand (Looks Real, But Isn't),"The VS Code editor, faked by hand — typing out code, the terminal printing results line by line. Thirty seconds.",Apps Rebuilt by Hand,Public
2026-07-15_UIReplica_10_Trello.mp4,Trello, Rebuilt by Hand (Looks Real, But Isn't),"Trello, recreated from scratch — dragging a card from one list to another, tilt and shadow and all. Thirty seconds.",Apps Rebuilt by Hand,Public
2026-07-15_DashboardCinema.mp4,A One-Minute Story Told Only by a Dashboard,"A short film with no words. A company's status screen quietly goes wrong, someone notices, fixes it, and it recovers — told entirely through numbers and charts on screen. Can a boring screen hold you like a movie? One minute.",Short Films,Public
SwissAtlas_Vol1_TypeAndMotion.mp4,Early Version 1 (Scrapped Rough Cut) — Part 1,"A rough early version I made and later threw away. Kept only as a behind-the-scenes look at how the finished animations came together.",Behind the Scenes (Old Versions),Unlisted
SwissAtlas_Vol2_DataAndInterface.mp4,Early Version 1 (Scrapped Rough Cut) — Part 2,"A rough early version I later scrapped. Behind-the-scenes only.",Behind the Scenes (Old Versions),Unlisted
SwissAtlas_Vol3_FormSpaceLight.mp4,Early Version 1 (Scrapped Rough Cut) — Part 3,"A rough early version I later scrapped. Behind-the-scenes only.",Behind the Scenes (Old Versions),Unlisted
SwissAtlas_Vol4_MetaphorAndScene.mp4,Early Version 1 (Scrapped Rough Cut) — Part 4,"A rough early version I later scrapped. Behind-the-scenes only.",Behind the Scenes (Old Versions),Unlisted
SwissAtlas_Vol5_TreatmentAndData.mp4,Early Version 1 (Scrapped Rough Cut) — Part 5,"A rough early version I later scrapped. Behind-the-scenes only.",Behind the Scenes (Old Versions),Unlisted
2026-07-14_AnyrvaanAtlas_Ch01_FirstWords.mp4,Early Version 2 (Scrapped) — Ch. 1,"A second version I made and set aside for a better one. Behind-the-scenes only.",Behind the Scenes (Old Versions),Unlisted
2026-07-14_AnyrvaanAtlas_Ch02_ThePulse.mp4,Early Version 2 (Scrapped) — Ch. 2,"A second version I made and set aside for a better one. Behind-the-scenes only.",Behind the Scenes (Old Versions),Unlisted
2026-07-14_AnyrvaanAtlas_Ch03_GlassHouses.mp4,Early Version 2 (Scrapped) — Ch. 3,"A second version I made and set aside for a better one. Behind-the-scenes only.",Behind the Scenes (Old Versions),Unlisted
2026-07-14_AnyrvaanAtlas_Ch04_DrawnByHand.mp4,Early Version 2 (Scrapped) — Ch. 4,"A second version I made and set aside for a better one. Behind-the-scenes only.",Behind the Scenes (Old Versions),Unlisted
2026-07-14_AnyrvaanAtlas_Ch05_GravitySprings.mp4,Early Version 2 (Scrapped) — Ch. 5,"A second version I made and set aside for a better one. Behind-the-scenes only.",Behind the Scenes (Old Versions),Unlisted
2026-07-14_AnyrvaanAtlas_Ch06_DeepSpace.mp4,Early Version 2 (Scrapped) — Ch. 6,"A second version I made and set aside for a better one. Behind-the-scenes only.",Behind the Scenes (Old Versions),Unlisted
2026-07-14_AnyrvaanAtlas_Ch07_LightGhosts.mp4,Early Version 2 (Scrapped) — Ch. 7,"A second version I made and set aside for a better one. Behind-the-scenes only.",Behind the Scenes (Old Versions),Unlisted
2026-07-14_AnyrvaanAtlas_Ch08_SacredGeometry.mp4,Early Version 2 (Scrapped) — Ch. 8,"A second version I made and set aside for a better one. Behind-the-scenes only.",Behind the Scenes (Old Versions),Unlisted
2026-07-14_AnyrvaanAtlas_Ch09_WorkingMetaphors.mp4,Early Version 2 (Scrapped) — Ch. 9,"A second version I made and set aside for a better one. Behind-the-scenes only.",Behind the Scenes (Old Versions),Unlisted
2026-07-14_AnyrvaanAtlas_Ch10_LivingLedger.mp4,Early Version 2 (Scrapped) — Ch. 10,"A second version I made and set aside for a better one. Behind-the-scenes only.",Behind the Scenes (Old Versions),Unlisted
